id,prix
3600072,559170.06
6200017,238442.66
7600136,457880.78
11200400,542049.06
11500890,842058.56
11501310,782213.75
11510310,735207.1
11510700,708096.8
13001795,308143.0
16000015,199536.11
23500190,567948.5
23520190,492604.06
34001304,553376.6
34001540,602653.6
40000228,156468.17
40000362,128650.57
42000006,239108.67
42000127,300628.22
46100204,1577241.4
46100504,2013014.9
49500090,322826.34
59000201,692077.56
59000250,700411.2
66000140,461968.38
66000265,440707.78
84000335,297605.34
87000213,241898.42
91000320,445423.78
98000750,1027702.1
98020300,771637.1
98020310,757016.0
98020480,870392.6
98030160,821149.8
98300230,1437617.1
100100050,299891.38
100300280,304778.1
100300500,283092.44
100300530,277458.22
104510230,243627.05
104550540,246578.1
106000044,459057.1
109200390,217233.08
110000040,274989.8
114100131,530451.44
114100304,584310.75
114101540,340782.44
114700150,219428.58
120059044,322070.25
121059007,246073.53
123039147,429970.03
123039207,328293.16
123039346,335127.44
123039424,299060.56
123039626,278525.75
123059127,641972.6
126039213,340186.62
126039252,392450.4
126039256,386356.47
126039413,466688.8
126039467,621848.44
126039599,461913.1
126049217,370324.7
126059018,466118.8
126059021,434988.44
128500260,269089.62
133000070,181924.08
133000135,377888.53
133000271,366695.8
136000220,659650.0
148000375,792519.5
148000440,407372.28
148000590,715931.3
151000075,775752.4
170000215,833449.56
179000505,253353.03
179001046,182165.61
179001425,185166.44
182000350,446425.9
191100235,940088.9
191100250,765705.06
191100410,921248.75
191100672,1077941.6
194000145,734247.25
194000505,586916.0
200500700,525285.9
200520080,555913.94
200800200,544107.94
203101065,440104.28
203600140,568007.2
203600590,626951.8
203900380,340108.78
203900920,356792.56
205000120,672032.5
205000410,603279.3
205000450,627508.56
216500040,333416.94
223039254,343375.5
224069084,586364.25
224069129,498882.22
225039069,656791.44
225039082,784471.06
225039145,521914.97
225039175,702434.7
225039177,651527.06
225069013,784314.06
225069017,732439.9
226039075,555313.44
226039214,428466.56
226059103,444616.34
236500050,318216.7
239000155,534959.9
240000130,486875.4
241900020,373517.4
241900160,378614.97
251300260,301461.94
251500080,2801098.8
252000400,331304.22
253600150,364553.06
254000100,610885.5
254000695,450754.6
254000735,317455.88
255000270,412923.34
255370420,340326.75
255400060,804233.5
255450040,400019.88
255450410,338743.1
255550190,342883.78
257000057,221156.9
258500059,852702.94
259600330,470056.0
259600530,461372.16
259900160,756113.7
263000253,477148.94
263000324,802892.2
263000327,412800.6
269000070,660065.7
269000221,811602.1
269000615,664316.6
272000125,408287.6
272000620,321441.62
273800100,247962.39
280610020,1101280.1
291310150,366864.7
291310340,542050.4
291310610,376036.03
293000036,535329.7
293000145,380377.25
293070010,875632.06
293070120,895333.8
293610040,625612.94
293620220,874575.06
293720180,406266.56
293760150,929035.4
293800120,756061.9
293800680,1250351.8
293910030,690648.25
301400320,241938.95
301400830,255956.28
301400850,241465.86
301400940,258194.39
301401410,290519.88
302000065,191692.62
302000375,207854.67
304100010,252170.11
305000310,698091.3
316000190,227139.22
321059091,282922.97
322059049,292745.75
322059095,289769.16
322069180,556800.56
323049176,367366.78
323089134,292126.88
323089173,416791.03
324069015,832978.3
324069058,568712.9
325059086,983972.8
325059131,476856.5
326069104,867870.8
339350150,748650.9
339600090,385641.88
345700040,280582.22
345700180,262112.83
345700340,261495.88
372000040,267108.03
375000230,564432.0
405100295,346499.56
408100050,314414.5
411100020,334945.25
414100630,358970.44
421000285,279249.97
421049116,206865.1
421049254,184366.81
421059018,302272.72
421079105,311063.9
422069067,491758.9
423049067,179020.67
423059360,410400.1
423059387,549513.75
424049043,733564.7
424069010,625161.0
424069018,813076.0
424069088,442559.4
424069206,766950.3
424069279,1387347.9
425049181,381389.2
425059103,520489.0
425069102,899346.4
425069104,649288.7
425079100,416666.53
426069095,498719.7
427000065,737052.9
430000175,551612.8
438000015,628759.1
442000175,531278.4
446000010,571284.25
452001890,700905.25
458000235,520625.53
461002050,433975.16
461003251,443415.7
461004195,449961.78
472000055,561041.3
475000004,432740.72
475000080,571814.6
475000605,727390.4
475001295,660503.6
476000017,461084.38
480000170,641842.25
486000520,1123455.5
486000565,1044111.1
486000597,960010.6
492000475,253517.77
510000641,656098.6
510002506,460249.0
510002519,468701.22
510002995,694954.56
510003230,604249.0
514500235,477570.78
518500210,806290.1
518500480,2440912.8
518500610,697024.8
521079025,508952.34
522039103,379522.72
522049122,274856.56
522069111,467870.34
522079022,416414.16
524059063,1979591.8
524059093,723925.25
524069011,671621.9
524069075,542062.94
524069115,909055.3
525049085,560169.0
526059183,396809.5
534000080,340830.4
537000075,272238.8
537000445,212285.83
538000390,315889.28
546000245,499980.1
546000910,642010.2
546001060,713425.9
558100090,612628.06
565300110,499740.97
567000025,752205.3
567000408,404812.3
579000096,738489.44
579000595,612204.75
579003240,709901.9
579003645,740254.1
582000065,716463.94
582000185,608969.4
586000020,1237320.8
587550340,660800.9
603000150,320626.06
617000089,197501.2
621069057,584478.7
622059019,336655.28
622100074,730081.94
623049093,175357.06
624111000,785838.2
625049359,460156.94
625069064,698519.8
626049058,440943.47
626059155,352362.28
627300145,1164364.6
629400340,866299.25
629420080,707441.44
629420260,758156.75
629420480,778702.0
629800520,1265291.8
629810560,841448.56
641900050,408877.53
642800130,762475.3
643000110,251018.94
643300010,532577.06
643400130,481909.1
644000040,1816090.9
644200065,897198.94
644210020,818241.06
646910560,269655.3
669000210,1060458.2
686200510,575085.25
686200740,535635.0
686400060,565535.6
686400670,593424.5
686450080,686036.1
686550040,1509852.4
705700240,345763.3
705700960,304280.72
711000070,716556.7
713500030,1303481.6
717000225,312968.1
720079001,508537.06
721069087,578326.5
722039049,699869.75
722039087,323570.8
722079015,481030.62
722079104,369933.66
723000226,1033365.6
723049274,341583.47
723049301,297838.3
723069013,351614.28
723069135,430870.7
723099065,369729.12
726049184,264781.22
726049217,377294.3
726059344,456186.6
726059485,456039.78
732000160,258644.31
739980360,299561.66
740500010,250297.89
741500010,247894.48
745530180,1042527.8
764000180,265980.03
765000060,389306.28
774101755,361490.62
782700150,357407.1
789000550,410420.8
795000820,248558.64
795002375,207029.83
797000258,410688.22
797000276,300688.97
798000337,303106.2
798000342,314337.7
806000020,244986.45
806800400,305384.72
806800420,286157.75
807800020,317851.38
808300310,412580.88
809001520,1240315.8
809002390,704569.06
809002435,746538.4
809002705,752022.0
809003160,561499.6
811000055,1319144.9
820079101,321702.62
821049123,392260.28
822039084,954170.06
822059038,280456.8
822059059,205072.02
822069066,285766.4
824059293,892790.3
824069188,687034.7
825059271,767966.8
825079024,654444.0
826069002,352117.4
826069016,658832.1
829000160,342674.66
844000425,198028.08
847100021,521389.06
853200040,2533474.2
853400240,662417.6
853600150,1117092.0
853600310,1288409.5
855700170,529183.0
859000110,224470.66
866400040,547898.25
868000175,655948.8
868000305,424411.06
868000575,1058794.8
868001435,1487547.6
868002080,758171.1
871000065,474186.06
871001085,612896.6
880000005,206864.66
880000189,233390.22
880000208,322346.12
886000015,288281.44
889000025,593688.2
898000220,239016.58
904000045,763567.2
908000010,397711.72
913000340,433942.28
920069053,202014.03
921049141,755640.0
921059132,354274.72
921059200,216883.19
922069169,457169.97
923000095,507323.62
923000115,516279.2
923000280,723710.7
923000425,749424.9
923049203,358632.88
923049468,202448.4
923059206,326336.3
924059233,654024.4
925049318,562687.06
925059078,651130.25
925069100,837799.8
925069123,526005.3
926069009,610471.75
926069142,678318.5
926069192,951786.0
930000415,796039.9
936000060,368751.75
937000220,223535.77
937000330,219244.83
952000310,588695.25
952000925,392872.47
952001710,498894.9
952002250,410825.03
952003585,868764.7
952005000,603271.6
952006823,369778.12
952007055,406585.2
955000060,588476.8
968000120,369735.8
982850010,389255.28
984000710,253751.38
984100450,323924.88
984200540,309459.97
984210590,316126.44
984220290,305393.12
984220370,308701.7
985000900,203852.66
993000136,476937.84
993000307,380394.4
993001961,391204.72
993002177,432078.9
1003600056,219526.95
1020069042,646240.5
1021079099,333941.25
1023059223,298156.2
1023059324,264510.34
1023059465,494969.5
1023089228,351541.97
1024000050,901583.9
1024000100,864376.9
1024049006,783179.1
1024069009,719680.1
1024069205,986585.2
1024069215,1191732.4
1025039320,1508974.1
1025049115,579219.1
1025059186,476432.34
1025069192,921153.1
1026049036,239524.94
1026069155,494535.84
1032000079,405346.25
1035000007,288846.62
1036000280,729818.06
1036400110,597801.94
1036400200,606593.06
1036450170,652767.25
1036700220,656883.94
1041440050,359320.53
1042700290,887232.4
1049000060,378768.25
1066100260,674856.94
1066600090,451592.75
1068000110,1081800.1
1070000390,1081675.5
1072000260,353164.94
1072010510,403060.38
1073100030,322494.62
1074100020,295147.8
1074100110,377214.9
1075100050,331669.22
1075100090,388837.4
1077100035,305441.7
1077100070,422725.62
1081200350,343781.88
1081300390,373931.03
1084000107,1132855.8
1085610030,791159.3
1085623710,389925.56
1085623740,404851.97
1086100100,468789.6
1088800060,522646.94
1090000005,472288.25
1099600010,204563.38
1099600090,219807.39
1099600250,234755.23
1102000527,1434233.6
1102001055,459085.25
1105000402,603090.4
1109000175,446336.75
1115300270,729836.25
1117200170,912424.3
1118000301,2531928.8
1118001370,1472807.6
1118001631,1355299.5
1121039105,376522.06
1124000010,427958.7
1125069102,798450.6
